Location Name	Latitude	Longitude	Species of Interest	Size	Polygon	Region
Shasta - Sierra Pacific Industries (point)	40.8962253	-121.7530252	Evergreen	43,672		
Shasta - Sierra Pacific Industries (poly)			Evergreen		POLYGON ((-121.753235 40.858746, -121.740532 40.866016, -121.741219 40.878218, -121.728859 40.884188, -121.723709 40.891456, -121.734009 40.921555, -121.738815 40.948788, -121.749115 40.972381, -121.751862 40.995707, -121.763191 40.991042, -121.771774 40.981712, -121.780701 40.970307, -121.794434 40.959419, -121.805077 40.957863, -121.809196 40.962012, -121.823959 40.962012, -121.838722 40.963049, -121.850739 40.96953, -121.856918 40.986637, -121.880264 40.993634, -121.886444 40.99778, -121.892967 41.010216, -121.894684 41.001925, -121.899834 40.993634, -121.91082 40.973418, -121.913738 40.965576, -121.914597 40.943602, -121.916656 40.919998, -121.917343 40.896646, -121.911163 40.876401, -121.91185 40.865757, -121.892967 40.865238, -121.878891 40.87043, -121.859665 40.873286, -121.851082 40.867055, -121.81469 40.866536, -121.80233 40.863939, -121.786537 40.859525, -121.776581 40.853812, -121.757698 40.853033, -121.753235 40.858746))	
Shasta - Sierra Pacific Industries (region)			Evergreen	43,672	POLYGON ((-121.33229827899999 41.18410110500014, -121.33357238899998 40.904090881000116, -121.32263183599997 40.904251098000145, -121.32721710099986 40.44507980400016, -121.56166839699989 40.44601059000007, -121.59922027699997 40.42440033000014, -121.70890045099998 40.439449311000146, -121.85991668799994 40.43852996800018, -121.93826293899997 40.41482162400018, -122.01110076999993 40.42518997200011, -122.10420989999994 40.41061019900019, -122.12996673499998 40.40507888800016, -122.13153076099996 40.39825058000008, -122.17903900199985 40.39271164000007, -122.18369293199999 40.388080596000066, -122.17550659099999 40.37918090900013, -122.18759918299997 40.379379273000154, -122.19519042899998 40.38874054000013, -122.20205688499999 40.37862014800015, -122.22963714499991 40.38935852100019, -122.30745696999992 40.372230531000014, -122.397987366 40.37155151400009, -122.42064666799996 40.37919998200016, -122.43669128499994 40.372920991000115, -122.52448272699996 40.393089296000085, -122.55964660699993 40.36820221000005, -122.57892608499998 40.36727905400005, -122.65325164799992 40.32778930600011, -122.6750488269999 40.32950973600015, -122.67716217099996 40.336261750000176, -122.71570587199994 40.34799194300001, -122.73313140899995 40.346179963000054, -122.73121643099995 40.35712051500019, -122.74669647199994 40.36579895000017, -122.85486602799989 40.342102051000154, -122.87446594199997 40.34838867100018, -122.91842651399992 40.30818176200012, -122.98082733099994 40.313739777000194, -123.06273651099997 40.28649902400019, -123.07109832799995 40.308948518000136, -123.06685638399995 40.34492111100013, -123.04833221399991 40.34860992400007, -123.01465606599993 40.388130188000105, -122.9974975589999 40.395408630000134, -122.99505615199996 40.41952896200013, -122.93872833299997 40.429241180000076, -122.92997741799996 40.448539734000065, -122.89966583199993 40.44662857000003, -122.88404083299997 40.47383117700008, -122.84606933599991 40.489360809000175, -122.84443664499992 40.506191253000054, -122.79460144099994 40.514308929000094, -122.77966308599997 40.54463958700018, -122.76611328199994 40.55271148800006, -122.74195098899992 40.553779603000066, -122.73709106399991 40.566612244, -122.720458985 40.573841096000024, -122.70385742199994 40.56835937600016, -122.69259643599997 40.57363891599999, -122.71013641399998 40.613590241000054, -122.70897674699995 40.62813949500003, -122.73661041199995 40.63605880800009, -122.72940063399989 40.65076065000005, -122.75299835199996 40.68964004500009, -122.72184753499994 40.69815063599998, -122.71121978699989 40.71794128500011, -122.71610260099999 40.7454986570001, -122.66147613599992 40.7863502510001, -122.6564178459999 40.80916977000004, -122.66506957899998 40.826210022000055, -122.60209655799997 40.90082931600017, -122.61444091699985 40.91868972800006, -122.60443878099994 40.94026184100011, -122.60279083299997 40.97208023200017, -122.58930969199997 40.984210968000184, -122.56577301099998 40.98886108300013, -122.55423736599994 41.00411987300015, -122.53890991199995 41.001758575, -122.53086089999994 41.01284027200006, -122.52426147399996 41.05794143800017, -122.54014587299991 41.07300186100002, -122.51580810499996 41.08855056700014, -122.49379730099997 41.08726119900018, -122.45594787499994 41.100849151000034, -122.44857787999996 41.158222199000136, -122.4768066399999 41.17618179300018, -122.49703216499995 41.17797088700007, -122.49855804399999 41.185199737999994, -121.33229827899999 41.18410110500014))	Shasta County, CA
Central North Island - New Zealand	-38.7965622	176.1391408	Evergreen	130		
Central North Island - New Zealand			Evergreen		POLYGON ((-183.855987 -38.792727, -183.859248 -38.792794, -183.862724 -38.792761, -183.863797 -38.792761, -183.864527 -38.794534, -183.8656 -38.795035, -183.866072 -38.795805, -183.865042 -38.796306, -183.864613 -38.797109, -183.865471 -38.797845, -183.864312 -38.799283, -183.858905 -38.800654, -183.857403 -38.796908, -183.855987 -38.792727))	
Central North Island - New Zealand			Evergreen	130	POLYGON ((173.26943359375002 -34.93476562500001, 173.28457031250002 -34.980566406250006, 173.33994140625003 -34.94794921875001, 173.38125000000002 -34.896484375, 173.44785156250003 -34.844335937500006, 173.438671875 -34.928515625, 173.47265625 -34.94697265625001, 173.69375000000002 -35.0056640625, 173.7392578125 -35.05458984375001, 173.78623046875003 -35.06855468750001, 173.81279296875005 -35.04121093750001, 173.8439453125 -35.02626953125001, 174.10400390625 -35.14287109375, 174.11894531250005 -35.17236328125, 174.10976562500002 -35.216406250000006, 174.11875000000003 -35.26289062500001, 174.14316406250003 -35.30000000000001, 174.20322265625003 -35.30859375, 174.28291015625 -35.253515625000006, 174.3203125 -35.246679687500006, 174.37333984375005 -35.32451171875, 174.39316406250003 -35.36855468750001, 174.3849609375 -35.36708984375001, 174.46474609375002 -35.4541015625, 174.54345703125 -35.58203125, 174.53173828125 -35.626953125, 174.50859375000005 -35.66738281250001, 174.58066406250003 -35.78554687500001, 174.53349609375005 -35.79375, 174.39101562500002 -35.77373046875, 174.39580078125005 -35.79736328125, 174.4787109375 -35.88408203125, 174.54873046875002 -36.006640625, 174.60488281250002 -36.08056640625, 174.80214843750002 -36.30947265625001, 174.7724609375 -36.39091796875, 174.77705078125 -36.44462890625, 174.75175781250005 -36.490820312500006, 174.81923828125002 -36.612109375, 174.77714843750005 -36.64980468750001, 174.74921875 -36.774023437500006, 174.71865234375002 -36.79580078125001, 174.72246093750005 -36.84121093750001, 174.801953125 -36.85322265625001, 174.84990234375005 -36.87255859375, 174.89140625000005 -36.90937500000001, 174.9171875 -36.8650390625, 174.95205078125002 -36.85292968750001, 175.0470703125 -36.912207031250006, 175.29951171875 -36.993261718750006, 175.32646484375005 -37.04091796875001, 175.3466796875 -37.15615234375001, 175.38535156250003 -37.20693359375001, 175.4609375 -37.21669921875001, 175.54248046875 -37.20136718750001, 175.56816406250005 -37.15937500000001, 175.551953125 -37.046484375000006, 175.4931640625 -36.86572265625, 175.50126953125005 -36.748046875, 175.48740234375003 -36.689550781250006, 175.42636718750003 -36.591894531250006, 175.38554687500005 -36.55634765625001, 175.39980468750002 -36.50078125, 175.46083984375002 -36.475683593750006, 175.49765625000003 -36.52265625000001, 175.52802734375 -36.57929687500001, 175.68144531250005 -36.74697265625001, 175.77216796875 -36.73515625, 175.78066406250002 -36.80458984375001, 175.84218750000002 -36.875097656250006, 175.876171875 -36.95771484375001, 175.92109375 -37.20458984375, 175.99013671875002 -37.43701171875, 176.11455078125005 -37.53828125000001, 176.12900390625003 -37.58671875, 176.05332031250003 -37.56171875000001, 176.02988281250003 -37.576269531250006, 176.03789062500005 -37.600683593750006, 176.1083984375 -37.645117187500006, 176.19111328125 -37.6669921875, 176.2431640625 -37.6638671875, 176.29169921875 -37.68007812500001, 176.61474609375 -37.83095703125001, 176.77001953125 -37.8896484375, 177.16181640625 -37.98574218750001, 177.27402343750003 -37.99345703125, 177.3359375 -37.990820312500006, 177.4533203125 -37.95742187500001, 177.55830078125 -37.8974609375, 177.64892578125 -37.80781250000001, 177.72734375000005 -37.70556640625, 177.8126953125 -37.65595703125001, 177.90947265625005 -37.61689453125001, 177.9580078125 -37.580664062500006, 178.00917968750002 -37.55488281250001, 178.27216796875 -37.56689453125, 178.36074218750002 -37.61845703125, 178.47597656250002 -37.659765625000006, 178.53623046875003 -37.69208984375001, 178.51601562500002 -37.7576171875, 178.44707031250005 -37.85439453125001, 178.39394531250002 -37.96025390625, 178.34726562500003 -38.20087890625001, 178.3154296875 -38.44404296875001, 178.26767578125003 -38.551171874999994, 178.1806640625 -38.633691406249994, 178.08486328125002 -38.693945312500006, 177.97617187500003 -38.722265625000006, 177.93212890625 -38.860253906249994, 177.9103515625 -39.02177734375002, 177.91660156250003 -39.062402343749994, 177.9513671875 -39.09453125000002, 177.96562500000005 -39.142480468749994, 177.90878906250003 -39.23955078125002, 177.87548828125 -39.225488281249994, 177.82871093750003 -39.14472656250001, 177.7861328125 -39.110937500000006, 177.65585937500003 -39.08574218750002, 177.52294921875 -39.073828125000006, 177.40751953125005 -39.081152343750006, 177.29658203125 -39.115820312500006, 177.12871093750005 -39.186132812500006, 177.07675781250003 -39.221777343750006, 177.03125 -39.26689453125002, 176.9541015625 -39.367578124999994, 176.9357421875 -39.49072265625, 176.93925781250005 -39.555273437500006, 176.96660156250005 -39.60517578125001, 177.10986328125 -39.67314453125002, 176.96796875 -39.910742187500006, 176.84218750000002 -40.157812500000006, 176.770703125 -40.228417968749994, 176.68876953125005 -40.29345703125, 176.6115234375 -40.441992187500006, 176.38515625000002 -40.66767578125001, 176.31386718750002 -40.768945312499994, 176.25175781250005 -40.876855468749994, 176.11865234375 -41.02910156250002, 176.05996093750002 -41.12968750000002, 175.98291015625 -41.213281249999994, 175.83964843750005 -41.32011718750002, 175.68730468750005 -41.411718750000006, 175.38027343750002 -41.580078125, 175.309765625 -41.61064453125002, 175.22216796875 -41.57441406250001, 175.20449218750002 -41.53496093750002, 175.18466796875003 -41.44902343750002, 175.16562500000003 -41.417382812499994, 175.05390625 -41.391210937500006, 174.90605468750005 -41.43291015625002, 174.88134765625 -41.42402343750001, 174.8751953125 -41.404296875, 174.875 -41.278222656249994, 174.90019531250005 -41.24267578125, 174.86562500000002 -41.223046874999994, 174.83154296875 -41.23076171875002, 174.81972656250002 -41.26289062500001, 174.84121093750002 -41.29072265625001, 174.75703125 -41.325292968750006, 174.66953125000003 -41.326269531250006, 174.64296875000002 -41.31269531250001, 174.63535156250003 -41.289453124999994, 174.68486328125005 -41.217675781249994, 174.84775390625003 -41.05878906250001, 175.016796875 -40.84765625, 175.16250000000002 -40.62158203125, 175.20048828125005 -40.50537109375, 175.2541015625 -40.28935546875002, 175.21015625 -40.19941406250001, 175.15595703125 -40.11494140625001, 175.00927734375 -39.9521484375, 174.81376953125005 -39.86015625000002, 174.68730468750005 -39.84716796875, 174.56748046875003 -39.81298828125, 174.45468750000003 -39.73515625000002, 174.35205078125 -39.64335937500002, 174.1486328125 -39.56816406250002, 173.93437500000005 -39.50908203125002, 173.81210937500003 -39.42578125, 173.78300781250005 -39.37617187500001, 173.763671875 -39.318749999999994, 173.76640625000005 -39.26533203125001, 173.78164062500002 -39.21123046875002, 173.80605468750002 -39.169531250000006, 173.84433593750003 -39.13935546875001, 174.07138671875003 -39.03125, 174.31171875 -38.971093749999994, 174.35605468750003 -38.97216796875, 174.3984375 -38.96259765625001, 174.45849609375 -38.92578125, 174.56621093750005 -38.84160156250002, 174.59736328125 -38.785058593749994, 174.61855468750002 -38.60527343750002, 174.65302734375 -38.428320312500006, 174.71533203125 -38.2255859375, 174.80927734375 -38.09980468750001, 174.8400390625 -38.02265625000001, 174.80166015625002 -37.8955078125, 174.83681640625002 -37.84892578125, 174.87958984375 -37.82080078125, 174.92802734375005 -37.8044921875, 174.84599609375005 -37.685156250000006, 174.74941406250002 -37.5046875, 174.72919921875 -37.44873046875, 174.76767578125003 -37.33906250000001, 174.70742187500002 -37.325292968750006, 174.67255859375 -37.27314453125001, 174.58583984375002 -37.097753906250006, 174.60966796875005 -37.069921875000006, 174.65966796875 -37.08876953125001, 174.73427734375002 -37.21523437500001, 174.74638671875005 -37.15009765625001, 174.80361328125002 -37.11005859375001, 174.86386718750003 -37.08925781250001, 174.92890625 -37.084765625, 174.78203125000005 -36.94375000000001, 174.73291015625 -36.94941406250001, 174.60146484375002 -36.98574218750001, 174.53652343750002 -36.97333984375001, 174.4755859375 -36.94189453125, 174.44453125 -36.88251953125001, 174.40605468750005 -36.76826171875001, 174.38193359375003 -36.72597656250001, 174.18886718750002 -36.492285156250006, 174.24570312500003 -36.484960937500006, 174.4015625 -36.60195312500001, 174.43173828125003 -36.564550781250006, 174.454296875 -36.5107421875, 174.44687500000003 -36.45087890625001, 174.40957031250002 -36.40556640625, 174.35410156250003 -36.3759765625, 174.35312500000003 -36.322851562500006, 174.39541015625002 -36.27412109375001, 174.3927734375 -36.2400390625, 174.30351562500005 -36.170507812500006, 174.26787109375005 -36.1630859375, 174.25205078125003 -36.19560546875, 174.2775390625 -36.243750000000006, 174.25371093750005 -36.249121093750006, 174.03642578125005 -36.12246093750001, 173.96933593750003 -36.020605468750006, 173.91445312500002 -35.90869140625, 173.90888671875 -35.954199218750006, 173.91728515625005 -36.018164062500006, 174.003125 -36.1462890625, 174.14238281250005 -36.28945312500001, 174.16640625000002 -36.32763671875, 174.14580078125005 -36.376953125, 174.09746093750005 -36.39101562500001, 174.0546875 -36.35976562500001, 173.99101562500005 -36.23720703125001, 173.94511718750005 -36.175878906250006, 173.41220703125003 -35.542578125000006, 173.48027343750005 -35.458984375, 173.58583984375002 -35.38857421875001, 173.6103515625 -35.3572265625, 173.626171875 -35.319140625, 173.58164062500003 -35.312597656250006, 173.54169921875 -35.3298828125, 173.49609375 -35.3623046875, 173.454296875 -35.39921875, 173.40166015625005 -35.48115234375001, 173.37636718750002 -35.500097656250006, 173.31396484375 -35.443359375, 173.290234375 -35.408300781250006, 173.2912109375 -35.366308593750006, 173.27451171875003 -35.3396484375, 173.22812500000003 -35.33125000000001, 173.11669921875 -35.20527343750001, 173.18876953125005 -35.12373046875001, 173.190625 -35.016210937500006, 173.11728515625003 -34.9033203125, 173.02958984375005 -34.799902343750006, 172.86074218750002 -34.63232421875, 172.70595703125002 -34.455175781250006, 172.87373046875 -34.43291015625, 173.0439453125 -34.42910156250001, 172.96376953125002 -34.53515625, 172.99980468750005 -34.596484375, 173.05439453125 -34.6482421875, 173.17109375 -34.80693359375, 173.18125000000003 -34.85273437500001, 173.24052734375005 -34.899023437500006, 173.26943359375002 -34.93476562500001))	Central North Island, New Zealand
Louisiana Loblolly Pine	31.2668962	-92.8986492	Loblolly Pine	12544		
